#{"t_start": 1753072147.1604853, "env_id": "None"}
r,l,t
1.0,14,0.231151
1.0,14,0.231151
1.0,14,0.231151
1.0,14,0.231151
1.0,14,0.231151
1.0,14,0.231151
1.0,14,0.231151
1.0,14,0.231151
1.0,14,0.310626
1.0,14,0.310626
1.0,14,0.310626
1.0,14,0.310626
1.0,14,0.310626
1.0,14,0.310626
1.0,14,0.310626
1.0,14,0.310626
1.0,14,0.382079
1.0,14,0.382079
1.0,14,0.382079
1.0,14,0.382079
1.0,14,0.382079
1.0,14,0.382079
1.0,14,0.382079
1.0,14,0.382079
1.0,14,0.453121
1.0,14,0.453121
1.0,14,0.453121
1.0,14,0.453121
1.0,14,0.453121
1.0,14,0.453121
1.0,14,0.453121
1.0,14,0.453121
1.0,14,0.528006
1.0,14,0.528006
1.0,14,0.528006
1.0,14,0.528006
1.0,14,0.528006
1.0,14,0.528006
1.0,14,0.528006
1.0,14,0.528006
1.0,14,0.56372
1.0,14,0.56372
1.0,14,0.56372
1.0,14,0.56372
1.0,14,0.56372
1.0,14,0.56372
1.0,14,0.56372
1.0,14,0.56372
1.0,14,0.640753
1.0,14,0.640753
1.0,14,0.640753
1.0,14,0.640753
1.0,14,0.640753
1.0,14,0.640753
1.0,14,0.640753
1.0,14,0.640753
