Reward,Length,t,Episode,Loss
0.0,10,0.255239,1,
0.0,18,0.431732,2,
0.0,22,0.491634,3,
0.0,15,0.532205,4,
0.0,25,0.532205,5,
0.0,31,0.645499,6,
0.0,35,0.685806,7,
0.0,39,0.740515,8,
0.0,42,0.796483,9,
0.0,7,0.851714,10,
0.0,29,0.865708,11,
0.0,24,0.888601,12,
0.0,10,0.96346,13,
0.0,22,0.978381,14,
0.0,30,1.042921,15,
0.0,41,1.063808,16,
0.0,30,1.264138,17,
0.0,35,1.343029,18,
0.0,28,1.352164,19,
0.0,32,1.402699,20,
0.0,26,1.414408,21,
0.0,14,1.545831,22,
0.0,38,1.555892,23,
0.0,58,1.561085,24,
0.0,12,1.561085,25,
0.0,81,1.660864,26,
0.0,12,1.735403,27,
0.0,16,1.757641,28,
0.0,6,1.840868,29,
0.0,18,1.97628,30,
0.0,45,1.97628,31,
0.0,60,2.073435,32,
0.0,19,2.095012,33,
0.0,39,2.184294,34,
0.0,18,2.237403,35,
0.0,20,2.255394,36,
0.0,63,2.30282,37,
0.0,61,2.38679,38,
0.0,12,2.449171,39,
0.0,21,2.520216,40,
0.0,19,2.520216,41,
0.0,26,2.560208,42,
0.0,14,2.596154,43,
0.0,43,2.68205,44,
0.0,17,2.7979,45,
0.0,89,2.799598,46,
0.0,29,2.921135,47,
0.0,19,2.934671,48,
0.0,31,3.025404,49,
0.0,17,3.025404,50,
0.0,67,3.052331,51,
0.0,12,3.128337,52,
0.0,49,3.139645,53,
0.0,11,3.1985,54,
0.0,25,3.372469,55,
0.0,14,3.372469,56,
0.0,32,3.372469,57,
0.0,8,3.476932,58,
0.0,74,3.546637,59,
0.0,38,3.665301,60,
0.0,45,3.740009,61,
0.0,26,3.740009,62,
0.0,24,3.823186,63,
0.0,61,3.891992,64,
0.0,12,3.907596,65,
0.0,32,3.999611,66,
0.0,18,4.055097,67,
0.0,94,4.098696,68,
0.0,55,4.119882,69,
0.0,9,4.184839,70,
0.0,26,4.254088,71,
0.0,39,4.269647,72,
0.0,42,4.690298,73,
0.0,61,4.780741,74,
0.0,41,4.878933,75,
0.0,57,4.990995,76,
0.0,92,5.001517,77,
0.0,59,5.081527,78,
0.0,80,5.201568,79,
0.0,27,5.240364,80,
0.0,64,5.253151,81,
0.0,11,5.274324,82,
0.0,18,5.315633,83,
0.0,11,5.42745,84,
0.0,16,5.46243,85,
0.0,35,5.46243,86,
0.0,31,5.499883,87,
0.0,58,5.658875,88,
0.0,32,5.7465,89,
0.0,25,5.853078,90,
0.0,11,6.069456,91,
0.0,53,6.117734,92,
0.0,45,6.244525,93,
0.0,13,6.375484,94,
0.0,56,6.454022,95,
0.0,24,6.456666,96,
0.0,9,6.489199,97,
0.0,50,6.558868,98,
0.0,10,6.586399,99,
0.0,57,6.586399,100,
0.0,11,6.586399,101,
0.0,90,6.722136,102,
0.0,35,6.722136,103,
0.0,90,6.850898,104,
0.0,22,6.857927,105,
0.0,30,6.934869,106,
0.0,42,6.97592,107,
0.0,12,6.97592,108,
0.0,36,7.016683,109,
0.0,31,7.0837,110,
0.0,34,7.109017,111,
0.0,11,7.109017,112,
0.0,22,7.253882,113,
0.0,33,7.37139,114,
0.0,40,7.377378,115,
0.0,18,7.405204,116,
0.0,30,7.405204,117,
0.0,13,7.461284,118,
0.0,51,7.531699,119,
0.0,97,7.537596,120,
0.0,52,7.558437,121,
0.0,12,7.593725,122,
0.0,92,7.632145,123,
0.0,20,7.632145,124,
0.0,17,7.635547,125,
0.0,36,7.656175,126,
0.0,7,7.683177,127,
0.0,47,7.683177,128,
0.0,8,7.683177,129,
0.0,15,7.683177,130,
0.0,50,7.697673,131,
0.0,7,7.71131,132,
0.0,7,7.724844,133,
0.0,11,7.787272,134,
0.0,79,7.836012,135,
0.0,28,7.842627,136,
0.0,28,7.863554,137,
0.0,34,7.877684,138,
0.0,6,7.912593,139,
0.0,17,7.947209,140,
0.0,35,7.982162,141,
0.0,57,8.009288,142,
0.0,26,8.009288,143,
0.0,21,8.037037,144,
0.0,71,8.044462,145,
0.0,22,8.134883,146,
0.0,18,8.134883,147,
0.0,31,8.148808,148,
0.0,51,8.155044,149,
0.0,83,8.224415,150,
0.0,26,8.233309,151,
0.0,18,8.26657,152,
0.0,19,8.272506,153,
0.0,17,8.279974,154,
0.0,41,8.326309,155,
0.0,10,8.32992,156,
0.0,19,8.368788,157,
0.0,13,8.368788,158,
0.0,15,8.402293,159,
0.0,11,8.418308,160,
0.0,11,8.42397,161,
0.0,60,8.465693,162,
0.0,20,8.559804,163,
0.0,43,8.599297,164,
0.0,71,8.745483,165,
0.0,42,8.760712,166,
0.0,18,8.776754,167,
0.0,27,8.807752,168,
0.0,37,8.821418,169,
0.0,7,8.828885,170,
0.0,11,8.907334,171,
0.0,52,8.911804,172,
0.0,58,8.918705,173,
0.0,17,8.946886,174,
0.0,19,9.016227,175,
0.0,37,9.043562,176,
0.0,40,9.050527,177,
0.0,36,9.095462,178,
0.0,6,9.108722,179,
0.0,25,9.152006,180,
0.0,33,9.161609,181,
0.0,14,9.182474,182,
0.0,39,9.238666,183,
0.0,19,9.266621,184,
0.0,100,9.273088,185,
0.0,13,9.328453,186,
0.0,24,9.329219,187,
0.0,24,9.357014,188,
0.0,15,9.363477,189,
0.0,5,9.405715,190,
0.0,15,9.440392,191,
0.0,24,9.450815,192,
0.0,55,9.455976,193,
0.0,51,9.481926,194,
0.0,11,9.510149,195,
0.0,25,9.510149,196,
0.0,12,9.55408,197,
0.0,9,9.556084,198,
0.0,22,9.557724,199,
0.0,12,9.592566,200,
0.0,7,9.620113,201,
0.0,35,9.635879,202,
0.0,14,9.65597,203,
0.0,16,9.668612,204,
0.0,10,9.668612,205,
0.0,34,9.690151,206,
0.0,26,9.690151,207,
0.0,81,9.780711,208,
0.0,18,9.82878,209,
0.0,18,9.82878,210,
0.0,9,9.843084,211,
0.0,11,9.897679,212,
0.0,39,9.904947,213,
0.0,25,10.029593,214,
0.0,7,10.099154,215,
0.0,25,10.103336,216,
0.0,63,10.128547,217,
0.0,54,10.133502,218,
0.0,74,10.220536,219,
0.0,43,10.25658,220,
0.0,24,10.280396,221,
0.0,10,10.312924,222,
0.0,12,10.367692,223,
0.0,11,10.40094,224,
0.0,37,10.412195,225,
0.0,23,10.447205,226,
0.0,98,10.480158,227,
0.0,47,10.480158,228,
0.0,84,10.498615,229,
0.0,9,10.518663,230,
0.0,15,10.559674,231,
0.0,12,10.579981,232,
0.0,14,10.584316,233,
0.0,13,10.584316,234,
0.0,29,10.630803,235,
0.0,12,10.671496,236,
0.0,26,10.734713,237,
0.0,32,10.753035,238,
0.0,50,10.763236,239,
0.0,83,10.783769,240,
0.0,28,10.814687,241,
0.0,11,10.855421,242,
0.0,36,10.865741,243,
0.0,34,10.875772,244,
0.0,34,10.906799,245,
0.0,25,10.906799,246,
0.0,8,10.978172,247,
0.0,27,10.983089,248,
0.0,30,11.059559,249,
0.0,51,11.177436,250,
0.0,34,11.196373,251,
0.0,57,11.202072,252,
0.0,46,11.24786,253,
0.0,19,11.257411,254,
0.0,22,11.356502,255,
0.0,49,11.356502,256,
0.0,49,11.391065,257,
0.0,31,11.437492,258,
0.0,11,11.463133,259,
0.0,14,11.518803,260,
0.0,23,11.559297,261,
0.0,46,11.586412,262,
0.0,20,11.619904,263,
0.0,53,11.649644,264,
0.0,19,11.649644,265,
0.0,14,11.661677,266,
0.0,100,11.676098,267,
0.0,62,11.691868,268,
0.0,10,11.734523,269,
0.0,12,11.740535,270,
0.0,18,11.740535,271,
0.0,42,11.740535,272,
0.0,9,11.832832,273,
0.0,20,11.855165,274,
0.0,36,11.863322,275,
0.0,24,11.863322,276,
0.0,22,11.933666,277,
0.0,12,11.974783,278,
0.0,40,11.995591,279,
0.0,29,12.005665,280,
0.0,20,12.005665,281,
0.0,9,12.066668,282,
0.0,10,12.107434,283,
0.0,20,12.148513,284,
0.0,22,12.179081,285,
0.0,19,12.179081,286,
0.0,36,12.189161,287,
0.0,12,12.193169,288,
0.0,44,12.219847,289,
0.0,10,12.250175,290,
0.0,16,12.346126,291,
0.0,81,12.362204,292,
0.0,41,12.392841,293,
0.0,36,12.392841,294,
0.0,16,12.473573,295,
0.0,38,12.473573,296,
0.0,49,12.525038,297,
0.0,11,12.555624,298,
0.0,11,12.555624,299,
0.0,72,12.576336,300,
0.0,32,12.617718,301,
0.0,43,12.628009,302,
0.0,15,12.669189,303,
0.0,28,12.751346,304,
0.0,34,12.761488,305,
0.0,100,12.864596,306,
0.0,28,13.01673,307,
0.0,57,13.117224,308,
0.0,65,13.149776,309,
0.0,100,13.180012,310,
0.0,52,13.190039,311,
0.0,7,13.220982,312,
0.0,9,13.28812,313,
0.0,16,13.302486,314,
0.0,5,13.318655,315,
0.0,100,13.339204,316,
0.0,57,13.339204,317,
0.0,41,13.427372,318,
0.0,34,13.427372,319,
0.0,58,13.439409,320,
0.0,98,13.439409,321,
0.0,8,13.455315,322,
0.0,25,13.465496,323,
0.0,23,13.498148,324,
0.0,7,13.547417,325,
0.0,38,13.649358,326,
0.0,13,13.673797,327,
0.0,45,13.70711,328,
0.0,21,13.716793,329,
0.0,11,13.749051,330,
0.0,16,13.897044,331,
0.0,25,13.897044,332,
0.0,57,13.925848,333,
0.0,53,13.925848,334,
0.0,52,13.956557,335,
0.0,34,13.966189,336,
0.0,64,13.997307,337,
0.0,8,14.060876,338,
0.0,19,14.064025,339,
0.0,45,14.071331,340,
0.0,31,14.120606,341,
0.0,25,14.151284,342,
0.0,13,14.169483,343,
