Reward,Length,t,Episode,Loss
-126.388664,200,3.821816,1,
-121.656944,200,3.821816,2,
-119.51895,200,3.821816,3,
-125.24514,200,3.821816,4,
-126.53283,200,3.821816,5,
-125.77748,200,3.821816,6,
-124.09695,200,3.821816,7,
-123.516464,200,3.821816,8,
-124.93989,200,4.314318,9,
-120.07331,200,4.314318,10,
-126.39913,200,4.314318,11,
-125.44545,200,4.314318,12,
-122.9832,200,4.314318,13,
-124.467995,200,4.314318,14,
-122.551735,200,4.314318,15,
-123.859314,200,4.314318,16,
-121.14648,200,4.79346,17,
-118.0973,200,4.79346,18,
-124.57596,200,4.79346,19,
-124.67547,200,4.79346,20,
-120.12598,200,4.79346,21,
-124.78319,200,4.79346,22,
-122.69184,200,4.79346,23,
-124.51089,200,4.79346,24,
-123.30026,200,5.259552,25,
-119.687706,200,5.259552,26,
-118.16593,200,5.259552,27,
-119.656494,200,5.267241,28,
-122.45731,200,5.267241,29,
-121.35928,200,5.267241,30,
-119.44008,200,5.267241,31,
-122.94439,200,5.267241,32,
-125.10866,200,5.663059,33,
-122.26434,200,5.663059,34,
-123.43405,200,5.663059,35,
-121.40687,200,5.663059,36,
-122.08763,200,5.663059,37,
-122.644646,200,5.663059,38,
-120.77807,200,5.663059,39,
-123.62196,200,5.663059,40,
-124.109924,200,6.110295,41,
-121.65657,200,6.110295,42,
-120.27268,200,6.110295,43,
-123.60923,200,6.110295,44,
-123.477455,200,6.110295,45,
-124.52892,200,6.110295,46,
-122.535706,200,6.110295,47,
-122.419075,200,6.110295,48,
-120.48405,200,6.56414,49,
-114.82335,200,6.56414,50,
-123.38302,200,6.56414,51,
-121.8526,200,6.56414,52,
-121.410706,200,6.56414,53,
-124.52477,200,6.56414,54,
-120.07391,200,6.56414,55,
-120.94538,200,6.56414,56,
-121.37192,200,7.017072,57,
-118.02241,200,7.017072,58,
-121.7557,200,7.017072,59,
-118.697685,200,7.017072,60,
-117.43765,200,7.017072,61,
-120.00779,200,7.017072,62,
-121.31361,200,7.017072,63,
-121.466705,200,7.017072,64,
-122.22179,200,7.473694,65,
-120.92691,200,7.473694,66,
-123.239296,200,7.473694,67,
-120.08556,200,7.473694,68,
-110.529495,200,7.473694,69,
-116.832695,200,7.473694,70,
-113.83647,200,7.473694,71,
-121.82125,200,7.473694,72,
-112.75807,200,7.940789,73,
-117.23842,200,7.940789,74,
-118.8387,200,7.940789,75,
-118.81219,200,7.940789,76,
-122.204994,200,7.940789,77,
-107.701996,200,7.940789,78,
-110.946625,200,7.940789,79,
-118.696625,200,7.940789,80,
-121.62015,200,8.399321,81,
-120.650635,200,8.399321,82,
-120.362434,200,8.399321,83,
-108.62252,200,8.399321,84,
-122.24802,200,8.399321,85,
-116.92265,200,8.399321,86,
-114.733376,200,8.399321,87,
-121.48511,200,8.399321,88,
-113.90309,200,8.872683,89,
-106.846436,200,8.872683,90,
-117.74682,200,8.872683,91,
-103.27173,200,8.872683,92,
-111.52548,200,8.872683,93,
-113.213234,200,8.872683,94,
-112.80116,200,8.872683,95,
-119.33764,200,8.872683,96,
-120.85531,200,9.400749,97,
-118.887985,200,9.400749,98,
-116.2056,200,9.400749,99,
-117.03409,200,9.400749,100,
-120.59012,200,9.400749,101,
-110.93574,200,9.400749,102,
-117.47377,200,9.400749,103,
-119.64551,200,9.400749,104,
-115.18973,200,10.026197,105,
-120.580894,200,10.026197,106,
-121.55419,200,10.026197,107,
-117.61242,200,10.026197,108,
-116.08277,200,10.026197,109,
-111.79075,200,10.026197,110,
-114.26646,200,10.026197,111,
-117.030785,200,10.026197,112,
-120.38945,200,10.431771,113,
-116.64639,200,10.431771,114,
-118.22378,200,10.431771,115,
-115.149635,200,10.432773,116,
-116.837326,200,10.432773,117,
-115.84701,200,10.432773,118,
-112.95623,200,10.432773,119,
-114.82665,200,10.432773,120,
-117.202576,200,11.100712,121,
-118.15214,200,11.100712,122,
-119.68059,200,11.100712,123,
-112.77708,200,11.100712,124,
-119.03422,200,11.100712,125,
-109.524345,200,11.100712,126,
-114.74367,200,11.100712,127,
-112.66077,200,11.100712,128,
-114.50906,200,11.584493,129,
-117.15938,200,11.584493,130,
-115.9512,200,11.584493,131,
-109.25596,200,11.584493,132,
-111.7475,200,11.584493,133,
-112.85106,200,11.584493,134,
-118.96135,200,11.584493,135,
-119.23252,200,11.584493,136,
-117.95232,200,11.991571,137,
-116.85767,200,11.991571,138,
-111.78431,200,11.991571,139,
-114.1482,200,11.991571,140,
-112.12869,200,11.991571,141,
-119.16116,200,11.991571,142,
-109.09572,200,11.991571,143,
-117.20072,200,11.991571,144,
-112.146,200,12.374913,145,
-115.838936,200,12.374913,146,
-108.715675,200,12.374913,147,
-119.43041,200,12.374913,148,
-118.362915,200,12.374913,149,
-117.37682,200,12.374913,150,
-113.77797,200,12.374913,151,
-107.58716,200,12.374913,152,
-113.798164,200,12.761081,153,
-108.90889,200,12.761081,154,
-113.36984,200,12.761081,155,
-116.93252,200,12.761081,156,
-111.38852,200,12.761081,157,
-116.97077,200,12.761081,158,
-114.718414,200,12.761081,159,
-112.496025,200,12.761081,160,
-113.42721,200,13.157025,161,
-107.46925,200,13.157025,162,
-118.0268,200,13.157025,163,
-109.29844,200,13.157025,164,
-114.547424,200,13.157025,165,
-111.52608,200,13.157025,166,
-113.25916,200,13.157025,167,
-111.89953,200,13.157025,168,
-106.8988,200,13.541253,169,
-111.97859,200,13.541253,170,
-113.25248,200,13.541253,171,
-110.423164,200,13.541253,172,
-117.535095,200,13.541253,173,
-116.196625,200,13.541253,174,
-118.920784,200,13.541253,175,
-116.7982,200,13.541253,176,
-119.196785,200,13.927117,177,
-117.10483,200,13.927117,178,
-105.52058,200,13.927117,179,
-116.633,200,13.927117,180,
-118.871826,200,13.927117,181,
-115.878,200,13.927117,182,
-115.15112,200,13.927117,183,
-117.97964,200,13.927117,184,
-117.50081,200,14.631929,185,
-118.006454,200,14.631929,186,
-114.08858,200,14.631929,187,
-118.886566,200,14.631929,188,
-117.025085,200,14.631929,189,
-109.55765,200,14.631929,190,
-108.436356,200,14.631929,191,
-111.076675,200,14.631929,192,
-106.43739,200,15.875353,193,
-103.991394,200,15.875353,194,
-114.39411,200,15.875353,195,
-117.2749,200,15.875353,196,
-114.96608,200,15.876332,197,
-119.110756,200,15.876332,198,
-110.13775,200,15.876332,199,
-110.74767,200,15.876332,200,
-114.72082,200,17.024312,201,
-107.014,200,17.024312,202,
-115.107574,200,17.024312,203,
-114.776306,200,17.024312,204,
-114.29267,200,17.024312,205,
-113.09468,200,17.024312,206,
-113.14326,200,17.024312,207,
-106.07003,200,17.024312,208,
-111.977234,200,18.178769,209,
-114.74463,200,18.178769,210,
-117.95311,200,18.178769,211,
-114.927986,200,18.179769,212,
-109.60424,200,18.179769,213,
-114.90826,200,18.179769,214,
-115.184425,200,18.179769,215,
-105.483406,200,18.179769,216,
-117.251144,200,19.384689,217,
-108.86948,200,19.384689,218,
-110.12357,200,19.384689,219,
-113.37287,200,19.384689,220,
-115.5409,200,19.384689,221,
-113.139854,200,19.384689,222,
-117.734344,200,19.384689,223,
-105.58439,200,19.384689,224,
-112.56215,200,20.725056,225,
-117.04198,200,20.731517,226,
-115.73841,200,20.731517,227,
-112.53757,200,20.731517,228,
-116.49865,200,20.731517,229,
-115.96273,200,20.731517,230,
-114.4033,200,20.731517,231,
-107.946205,200,20.731517,232,
-112.15177,200,21.99141,233,
-116.1649,200,21.99141,234,
-118.83752,200,21.99141,235,
-117.53324,200,21.99141,236,
-119.70566,200,21.99141,237,
-116.030975,200,21.99141,238,
-117.01014,200,21.99141,239,
-112.498566,200,21.99141,240,
-111.67421,200,23.338289,241,
-118.804344,200,23.338289,242,
-116.09819,200,23.338289,243,
-111.85624,200,23.338289,244,
-119.91262,200,23.338289,245,
-118.79267,200,23.338289,246,
-113.905945,200,23.338289,247,
-114.884346,200,23.338289,248,
-116.19398,200,24.621736,249,
-106.92668,200,24.621736,250,
-102.990715,200,24.621736,251,
-114.50571,200,24.621736,252,
-118.15569,200,24.621736,253,
-112.74452,200,24.621736,254,
-113.25264,200,24.621736,255,
-117.20355,200,24.621736,256,
-118.29904,200,25.941133,257,
-114.630424,200,25.941133,258,
-106.81166,200,25.941133,259,
-109.39785,200,25.941133,260,
